Run A	Run B	A and B originally	A and B after aligning	From A	From Refs with alignment	From Refs without alignment
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_E02_P010693_S00_N13_R1	0.0	0.184346661874	0.0	0.497618074	5.11348862866
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_E02_P013387_B00_N13_R1	3.60943209877	0.535379117926	0.551409614658	0.393183823118	3.19153814231
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_B04_P013387_B00_N26_R1	-1.0	-1.0	-1.0	0.529777716942	1.08191617747
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_B02_P013387_B00_N10_R1	3.70320284698	0.748754049395	0.766553087664	0.362556401477	2.60265683887
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_H02_P010693_S00_N16_R1	1.77044111349	0.482446861336	0.517255781622	0.487585092082	3.93663505129
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_F01_P013387_B00_N06_R1	3.9686754386	0.728045953213	0.78461711372	0.423381022355	1.93067095714
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_D05_P010693_S00_N36_R1	-1.0	-1.0	-1.0	3.71623047525	7.09510332096
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_A05_P013387_B00_N33_R1	-1.0	-1.0	-1.0	0.311746241157	1.33102471636
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_A01_P013387_B00_N01_R1	-1.0	-1.0	-1.0	0.625229869599	0.869304528454
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_H03_P010693_S00_N24_R1	2.17613559322	0.497955577764	0.513888505692	0.4272537674	3.91104925553
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_H04_P013387_B00_N32_R1	-1.0	-1.0	-1.0	0.275286281693	1.01604877612
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_D04_P013387_B00_N28_R1	-1.0	-1.0	-1.0	0.420355175894	1.03593923046
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_C02_P010693_S00_N11_R1	1.23455128205	0.450504814178	0.457887935486	0.461216004205	4.79746270404
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_B03_P010693_S00_N18_R1	1.73473088685	0.55689367634	0.551416535863	0.620538717796	4.47498070682
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_E04_P013387_B00_N29_R1	-1.0	-1.0	-1.0	0.320363525879	1.04370857077
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_E01_P013387_B00_N05_R1	4.40826373626	0.633666542152	0.641679564824	0.395879430562	1.9176030968
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_D02_P010693_S00_N12_R1	1.00476210093	0.414193982541	0.399841556489	0.421683738855	4.81898893191
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_E04_P010693_S00_N29_R1	2.49122580645	0.730258852421	0.749613854247	0.555277945818	3.74790256471
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_C05_P013387_B00_N35_R1	-1.0	-1.0	-1.0	0.833572804331	1.9950608993
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_F03_P013387_B00_N22_R1	-1.0	-1.0	-1.0	0.337011590595	1.58387987574
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_E01_P010693_S00_N05_R1	2.293	0.531810216378	0.593795334582	0.403608664563	4.20799472868
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_C01_P013387_B00_N03_R1	5.13697826087	0.62814009862	0.747970526225	0.318396157367	0.925112040226
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_G01_P013387_B00_N07_R1	2.63210416667	0.543243980043	0.582127550956	0.39746929958	3.62467059941
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_H01_P010693_S00_N08_R1	3.18435526316	1.12630266748	1.54212241968	1.05964246098	4.94093641978
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_G04_P013387_B00_N31_R1	-1.0	-1.0	-1.0	0.427829253058	1.06679445998
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_B05_P013387_B00_N34_R1	3.94616129032	0.551692804588	0.583812764226	0.445968960823	1.65084922169
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_D03_P013387_B00_N20_R1	-1.0	-1.0	-1.0	0.333554445217	1.93783327533
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_B01_P010693_S00_N02_R1	-1.0	-1.0	-1.0	0.54235974397	2.3455705918
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_C01_P010693_S00_N03_R1	-1.0	-1.0	-1.0	0.577432591789	4.11976395027
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_F04_P010693_S00_N30_R1	-1.0	-1.0	-1.0	0.63593002957	4.13175635707
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_B05_P010693_S00_N34_R1	-1.0	-1.0	-1.0	0.741961172273	3.76691826261
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_D02_P013387_B00_N12_R1	3.4518313253	0.597751688854	0.665888970489	0.465658547255	3.45446545631
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_G04_P010693_S00_N31_R1	-1.0	-1.0	-1.0	0.468826307081	3.73108946749
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_B02_P010693_S00_N10_R1	1.12788405797	0.388344594801	0.400654282077	0.441127656301	4.3889772569
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_G02_P013387_B00_N15_R1	4.32780246914	0.972737225027	0.980770838958	0.420353503273	2.93412426081
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_B01_P013387_B00_N02_R1	-1.0	-1.0	-1.0	0.233910978856	0.441109343915
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_A04_P013387_B00_N25_R1	5.09015151515	0.898064984523	0.744086448488	0.339107320304	0.993396572729
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_E03_P010693_S00_N21_R1	1.53205389222	0.416826808465	0.41173902222	0.42024733488	4.13741789679
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_G02_P010693_S00_N15_R1	1.18564991625	0.470762335959	0.481002014495	0.480594404956	4.45710244866
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_D05_P013387_B00_N36_R1	-1.0	-1.0	-1.0	0.341205532117	1.5276124994
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_B04_P010693_S00_N26_R1	2.11086486486	0.511360449841	0.422234453274	0.542754547002	3.85688558613
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_A03_P010693_S00_N17_R1	1.79600636943	0.428301713056	0.426693999332	0.388483890802	4.61438686227
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_C04_P013387_B00_N27_R1	-1.0	-1.0	-1.0	0.370290783379	0.888103124212
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_C04_P010693_S00_N27_R1	2.11505714286	0.621924738617	0.508133962358	0.40618853851	3.47023713987
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_G01_P010693_S00_N07_R1	2.36662222222	0.420741536331	0.443004201494	0.497314426342	3.57652516876
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_H02_P013387_B00_N16_R1	5.26765217391	1.37139548585	1.46583106401	0.437617700331	2.80255460511
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_C05_P010693_S00_N35_R2	-1.0	-1.0	-1.0	-1.0	-1.0
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_H01_P013387_B00_N08_R1	3.89217460317	0.658744379752	0.718898926265	0.414876549617	3.31476425339
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_D01_P010693_S00_N04_R1	1.4763030303	0.606071668564	0.461610991585	0.703177993405	4.46854779721
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_F04_P013387_B00_N30_R1	-1.0	-1.0	-1.0	0.420063961487	1.12651567391
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_D01_P013387_B00_N04_R1	4.09404964539	0.625764881555	0.666320466478	0.440134519137	3.11388375075
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_A02_P010693_S00_N09_R1	1.86118791946	0.423738566747	0.540851920136	0.428232673319	4.08185411342
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_F01_P010693_S00_N06_R1	2.31466666667	0.415665440819	0.459537157152	0.478695119328	3.72433078043
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_F02_P010693_S00_N14_R1	1.67991782554	0.37545310324	0.365473754303	0.432588543126	3.89483965044
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_F03_P010693_S00_N22_R1	1.62478571429	0.545299511236	0.593556085546	0.409195873487	4.07506623618
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_H04_P010693_S00_N32_R1	-1.0	-1.0	-1.0	0.758791377775	3.77948736085
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_B03_P013387_B00_N18_R1	-1.0	-1.0	-1.0	0.449668993901	2.43234543503
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_A03_P013387_B00_N17_R1	4.74258064516	0.870213880827	0.867673614383	0.493607768339	2.91737684718
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_G03_P010693_S00_N23_R1	1.47862365591	0.44778502641	0.488005676328	0.418446608996	4.15745691885
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_D04_P010693_S00_N28_R1	1.9394	0.570461212336	0.525796700987	0.460955886326	3.66644793771
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_A04_P010693_S00_N25_R1	1.97219148936	0.545076750077	0.392868520565	0.561897785469	4.27170915836
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_H03_P013387_B00_N24_R1	4.33856666667	0.902957848242	0.702701474455	0.33627606576	1.10348491353
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_A02_P013387_B00_N09_R1	3.61949444444	0.631052766141	0.727744859476	0.45178300899	4.00941249418
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_G03_P013387_B00_N23_R1	4.57197222222	0.67602163312	0.810106194383	0.425962608987	1.5310973734
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_F02_P013387_B00_N14_R1	4.40667153285	0.807447776717	0.943516854201	0.489950779149	3.12473110016
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_A05_P010693_S00_N33_R1	-1.0	-1.0	-1.0	0.620926040674	3.68144787964
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_C03_P013387_B00_N19_R1	-1.0	-1.0	-1.0	0.302237802954	1.66279541314
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_E03_P013387_B00_N21_R1	-1.0	-1.0	-1.0	0.311101955388	1.64550826874
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01308_C02_P013387_B00_N11_R1	3.86388793103	0.750696703249	0.841178822512	0.454569774318	3.54425870664
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_C03_P010693_S00_N19_R1	1.87303114187	0.450351135966	0.479156051463	0.543207292442	4.40421415072
run_A, run_B =	01075_E02_P010693_S00_N13_R1	01075_D03_P010693_S00_N20_R1	1.4864	0.426250610535	0.490718564208	0.452455275315	4.37141222332
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_E02_P010693_S00_N13_R1	4.85251515152	0.606316728376	0.854595710368	0.503531540062	5.06161870747
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_E02_P013387_B00_N13_R1	2.68307142857	0.541810659048	0.579644810772	0.503322657284	3.29758665286
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_B04_P013387_B00_N26_R1	0.306479892761	0.301983182221	0.24725179862	0.488056829037	1.04243001966
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_B02_P013387_B00_N10_R1	1.84348648649	0.746232575354	0.716887412979	0.380831558506	2.55969465629
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_H02_P010693_S00_N16_R1	2.87867307692	0.497191660891	0.536213222113	0.443018677417	3.94976885736
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_F01_P013387_B00_N06_R1	-1.0	-1.0	-1.0	0.366272077914	2.00674715991
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_D05_P010693_S00_N36_R1	-1.0	-1.0	-1.0	2.30356890355	5.63182307683
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_A05_P013387_B00_N33_R1	0.833662790698	0.278879514005	0.233159378498	0.348989404263	1.39268835776
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_A01_P013387_B00_N01_R1	-1.0	-1.0	-1.0	0.195917667532	0.410802520765
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_H03_P010693_S00_N24_R1	3.11679333333	0.717273586743	0.883472557282	0.397093004524	3.86349041683
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_H04_P013387_B00_N32_R1	0.964418367347	0.694586863584	0.617354529889	0.270036510198	1.05316617448
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_D04_P013387_B00_N28_R1	0.547174496644	0.290605703792	0.244246946315	0.525642333204	1.17814206614
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_C02_P010693_S00_N11_R1	-1.0	-1.0	-1.0	0.43905935908	4.94544330165
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_B03_P010693_S00_N18_R1	3.63325806452	0.842020077406	0.718417343997	0.606536886071	4.46234296842
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_E04_P013387_B00_N29_R1	0.710427350427	0.438781940182	0.37094195769	0.340779039742	1.05368045358
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_E01_P013387_B00_N05_R1	-1.0	-1.0	-1.0	0.368471054599	2.02502330768
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_D02_P010693_S00_N12_R1	4.42821212121	0.516410797642	0.51456112666	0.394958255226	4.74879365926
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_E04_P010693_S00_N29_R1	3.35917777778	0.900674016661	1.11745827989	0.639845022945	3.81949199124
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_C05_P013387_B00_N35_R1	1.12911111111	0.414819965165	0.410961872892	0.796359233126	2.05099750469
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_F03_P013387_B00_N22_R1	0.91784375	0.374614405666	0.36341955139	0.319343573008	1.53832809636
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_E01_P010693_S00_N05_R1	-1.0	-1.0	-1.0	0.449366115882	4.13400579879
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_C01_P013387_B00_N03_R1	-1.0	-1.0	-1.0	0.297297149729	0.873185764289
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_G01_P013387_B00_N07_R1	-1.0	-1.0	-1.0	0.463610950582	3.55573071487
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_H01_P010693_S00_N08_R1	-1.0	-1.0	-1.0	0.794972579256	4.83725333894
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_G04_P013387_B00_N31_R1	0.50737037037	0.261694632053	0.207228107036	0.399833084882	1.05163170689
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_B05_P013387_B00_N34_R1	0.916820512821	0.258871416136	0.175487546654	0.331586382758	1.49413577276
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_D03_P013387_B00_N20_R1	1.31620879121	0.321799308749	0.347967009093	0.36911404231	1.86578561009
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_B01_P010693_S00_N02_R1	-1.0	-1.0	-1.0	0.52228925332	2.41790755023
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_C01_P010693_S00_N03_R1	-1.0	-1.0	-1.0	0.500381224152	3.97875869873
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_F04_P010693_S00_N30_R1	3.18054054054	0.535331568581	0.705549852256	0.512268008572	3.95137603421
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_B05_P010693_S00_N34_R1	3.3678372093	0.660670919213	0.8500712191	0.917294465209	3.82785642591
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_D02_P013387_B00_N12_R1	2.78424561404	0.654589771888	0.736034959628	0.406416012107	3.31662868734
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_G04_P010693_S00_N31_R1	2.88194805195	0.621082753363	0.710250122025	0.446257802778	3.69129699859
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_B02_P010693_S00_N10_R1	-1.0	-1.0	-1.0	0.54825053405	4.83557732465
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_G02_P013387_B00_N15_R1	2.62255357143	0.605480984025	0.695033993052	0.397095029344	2.96036647278
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_B01_P013387_B00_N02_R1	-1.0	-1.0	-1.0	0.317016268557	0.507580066673
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_A04_P013387_B00_N25_R1	0.0	0.0735135700971	0.0	0.390001578374	1.07293897818
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_E03_P010693_S00_N21_R1	3.21019753086	0.529028626924	0.487668403271	0.412791161431	4.08377999434
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_G02_P010693_S00_N15_R1	3.80127272727	0.47166423321	0.594157929688	0.44378825302	4.65112546334
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_D05_P013387_B00_N36_R1	1.16027906977	0.440462561319	0.418534547314	0.58672031649	1.76857827594
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_B04_P010693_S00_N26_R1	3.57124427481	1.28314823798	1.44397984723	0.435340813601	3.71746779353
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_A03_P010693_S00_N17_R1	3.98729310345	0.710589327177	0.883824921999	0.394914389757	4.53623159871
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01308_C04_P013387_B00_N27_R1	0.55512	0.350464559473	0.296748077716	0.359533390784	0.896799737191
run_A, run_B =	01308_A04_P013387_B00_N25_R1	01075_C04_P010693_S00_N27_R1	2.9435203252	0.786173879208	0.956051466512	0.431759719033	3.54252013634
